"";"round";"seller";"buyer";"good";"price";"quantity"
"1";0;"household_1:";"firm_1:";"labor";1;1
"2";0;"household_0:";"firm_0:";"labor";1;1
"3";0;"firm_1:";"household_0:";"consumption_good";1;1
"4";0;"firm_1:";"household_1:";"consumption_good";1;1
"5";1;"firm_0:";"firm_1:";"intermediate_good";1;1
"6";1;"household_0:";"firm_0:";"labor";1;1
"7";1;"firm_1:";"household_0:";"consumption_good";1;1
"8";1;"firm_1:";"household_1:";"consumption_good";1;1
"9";1;"household_1:";"firm_1:";"labor";1;1
"10";2;"household_0:";"firm_0:";"labor";1;1
"11";2;"household_1:";"firm_1:";"labor";1;1
"12";2;"firm_0:";"firm_1:";"intermediate_good";1;1
"13";2;"firm_1:";"household_0:";"consumption_good";1;1
"14";2;"firm_1:";"household_1:";"consumption_good";1;1
"15";3;"firm_1:";"household_0:";"consumption_good";1;1
"16";3;"firm_1:";"household_1:";"consumption_good";1;1
"17";3;"household_0:";"firm_0:";"labor";1;1
"18";3;"firm_0:";"firm_1:";"intermediate_good";1;1
"19";3;"household_1:";"firm_1:";"labor";1;1
"20";4;"household_0:";"firm_0:";"labor";1;1
"21";4;"household_1:";"firm_1:";"labor";1;1
"22";4;"firm_0:";"firm_1:";"intermediate_good";1;1
"23";4;"firm_1:";"household_0:";"consumption_good";1;1
"24";4;"firm_1:";"household_1:";"consumption_good";1;1
"25";5;"household_0:";"firm_0:";"labor";1;1
"26";5;"firm_1:";"household_0:";"consumption_good";1;1
"27";5;"firm_1:";"household_1:";"consumption_good";1;1
"28";5;"firm_0:";"firm_1:";"intermediate_good";1;1
"29";5;"household_1:";"firm_1:";"labor";1;1
"30";6;"household_0:";"firm_0:";"labor";1;1
"31";6;"firm_0:";"firm_1:";"intermediate_good";1;1
"32";6;"household_1:";"firm_1:";"labor";1;1
"33";6;"firm_1:";"household_0:";"consumption_good";1;1
"34";6;"firm_1:";"household_1:";"consumption_good";1;1
"35";7;"firm_0:";"firm_1:";"intermediate_good";1;1
"36";7;"household_1:";"firm_1:";"labor";1;1
"37";7;"firm_1:";"household_0:";"consumption_good";1;1
"38";7;"firm_1:";"household_1:";"consumption_good";1;1
"39";7;"household_0:";"firm_0:";"labor";1;1
"40";8;"firm_1:";"household_0:";"consumption_good";1;1
"41";8;"firm_1:";"household_1:";"consumption_good";1;1
"42";8;"firm_0:";"firm_1:";"intermediate_good";1;1
"43";8;"household_0:";"firm_0:";"labor";1;1
"44";8;"household_1:";"firm_1:";"labor";1;1
"45";9;"firm_1:";"household_0:";"consumption_good";1;1
"46";9;"firm_1:";"household_1:";"consumption_good";1;1
"47";9;"firm_0:";"firm_1:";"intermediate_good";1;1
"48";9;"household_0:";"firm_0:";"labor";1;1
"49";9;"household_1:";"firm_1:";"labor";1;1
"50";10;"firm_1:";"household_0:";"consumption_good";1;1
"51";10;"firm_1:";"household_1:";"consumption_good";1;1
"52";10;"firm_0:";"firm_1:";"intermediate_good";1;1
"53";10;"household_0:";"firm_0:";"labor";1;1
"54";10;"household_1:";"firm_1:";"labor";1;1
"55";11;"firm_1:";"household_0:";"consumption_good";1;1
"56";11;"firm_1:";"household_1:";"consumption_good";1;1
"57";11;"firm_0:";"firm_1:";"intermediate_good";1;1
"58";11;"household_0:";"firm_0:";"labor";1;1
"59";11;"household_1:";"firm_1:";"labor";1;1
"60";12;"firm_0:";"firm_1:";"intermediate_good";1;1
"61";12;"firm_1:";"household_0:";"consumption_good";1;1
"62";12;"firm_1:";"household_1:";"consumption_good";1;1
"63";12;"household_0:";"firm_0:";"labor";1;1
"64";12;"household_1:";"firm_1:";"labor";1;1
"65";13;"firm_0:";"firm_1:";"intermediate_good";1;1
"66";13;"firm_1:";"household_0:";"consumption_good";1;1
"67";13;"firm_1:";"household_1:";"consumption_good";1;1
"68";13;"household_0:";"firm_0:";"labor";1;1
"69";13;"household_1:";"firm_1:";"labor";1;1
"70";14;"firm_1:";"household_0:";"consumption_good";1;1
"71";14;"firm_1:";"household_1:";"consumption_good";1;1
"72";14;"firm_0:";"firm_1:";"intermediate_good";1;1
"73";14;"household_0:";"firm_0:";"labor";1;1
"74";14;"household_1:";"firm_1:";"labor";1;1
"75";15;"firm_0:";"firm_1:";"intermediate_good";1;1
"76";15;"firm_1:";"household_0:";"consumption_good";1;1
"77";15;"firm_1:";"household_1:";"consumption_good";1;1
"78";15;"household_0:";"firm_0:";"labor";1;1
"79";15;"household_1:";"firm_1:";"labor";1;1
"80";16;"firm_0:";"firm_1:";"intermediate_good";1;1
"81";16;"household_0:";"firm_0:";"labor";1;1
"82";16;"household_1:";"firm_1:";"labor";1;1
"83";16;"firm_1:";"household_0:";"consumption_good";1;1
"84";16;"firm_1:";"household_1:";"consumption_good";1;1
"85";17;"firm_1:";"household_0:";"consumption_good";1;1
"86";17;"firm_1:";"household_1:";"consumption_good";1;1
"87";17;"firm_0:";"firm_1:";"intermediate_good";1;1
"88";17;"household_0:";"firm_0:";"labor";1;1
"89";17;"household_1:";"firm_1:";"labor";1;1
"90";18;"firm_0:";"firm_1:";"intermediate_good";1;1
"91";18;"firm_1:";"household_0:";"consumption_good";1;1
"92";18;"firm_1:";"household_1:";"consumption_good";1;1
"93";18;"household_0:";"firm_0:";"labor";1;1
"94";18;"household_1:";"firm_1:";"labor";1;1
"95";19;"firm_0:";"firm_1:";"intermediate_good";1;1
"96";19;"household_0:";"firm_0:";"labor";1;1
"97";19;"firm_1:";"household_0:";"consumption_good";1;1
"98";19;"firm_1:";"household_1:";"consumption_good";1;1
"99";19;"household_1:";"firm_1:";"labor";1;1
"100";20;"firm_0:";"firm_1:";"intermediate_good";1;1
"101";20;"firm_1:";"household_0:";"consumption_good";1;1
"102";20;"firm_1:";"household_1:";"consumption_good";1;1
"103";20;"household_1:";"firm_1:";"labor";1;1
"104";20;"household_0:";"firm_0:";"labor";1;1
"105";21;"firm_0:";"firm_1:";"intermediate_good";1;1
"106";21;"firm_1:";"household_0:";"consumption_good";1;1
"107";21;"firm_1:";"household_1:";"consumption_good";1;1
"108";21;"household_0:";"firm_0:";"labor";1;1
"109";21;"household_1:";"firm_1:";"labor";1;1
"110";22;"firm_0:";"firm_1:";"intermediate_good";1;1
"111";22;"firm_1:";"household_0:";"consumption_good";1;1
"112";22;"firm_1:";"household_1:";"consumption_good";1;1
"113";22;"household_1:";"firm_1:";"labor";1;1
"114";22;"household_0:";"firm_0:";"labor";1;1
"115";23;"firm_0:";"firm_1:";"intermediate_good";1;1
"116";23;"firm_1:";"household_0:";"consumption_good";1;1
"117";23;"firm_1:";"household_1:";"consumption_good";1;1
"118";23;"household_1:";"firm_1:";"labor";1;1
"119";23;"household_0:";"firm_0:";"labor";1;1
"120";24;"firm_0:";"firm_1:";"intermediate_good";1;1
"121";24;"firm_1:";"household_0:";"consumption_good";1;1
"122";24;"firm_1:";"household_1:";"consumption_good";1;1
"123";24;"household_1:";"firm_1:";"labor";1;1
"124";24;"household_0:";"firm_0:";"labor";1;1
"125";25;"firm_0:";"firm_1:";"intermediate_good";1;1
"126";25;"firm_1:";"household_0:";"consumption_good";1;1
"127";25;"firm_1:";"household_1:";"consumption_good";1;1
"128";25;"household_1:";"firm_1:";"labor";1;1
"129";25;"household_0:";"firm_0:";"labor";1;1
"130";26;"firm_0:";"firm_1:";"intermediate_good";1;1
"131";26;"firm_1:";"household_0:";"consumption_good";1;1
"132";26;"firm_1:";"household_1:";"consumption_good";1;1
"133";26;"household_0:";"firm_0:";"labor";1;1
"134";26;"household_1:";"firm_1:";"labor";1;1
"135";27;"firm_1:";"household_0:";"consumption_good";1;1
"136";27;"firm_1:";"household_1:";"consumption_good";1;1
"137";27;"firm_0:";"firm_1:";"intermediate_good";1;1
"138";27;"household_0:";"firm_0:";"labor";1;1
"139";27;"household_1:";"firm_1:";"labor";1;1
"140";28;"firm_0:";"firm_1:";"intermediate_good";1;1
"141";28;"firm_1:";"household_0:";"consumption_good";1;1
"142";28;"firm_1:";"household_1:";"consumption_good";1;1
"143";28;"household_0:";"firm_0:";"labor";1;1
"144";28;"household_1:";"firm_1:";"labor";1;1
"145";29;"firm_0:";"firm_1:";"intermediate_good";1;1
