"";"round";"buyer";"seller";"good";"quantity";"price"
"1";0;"firm_0:";"household";"labor";1;1
"2";0;"firm_1:";"household";"labor";1;1
"3";0;"household";"firm_1:";"consumption_good";2;1
"4";1;"firm_0:";"household";"labor";1;1
"5";1;"firm_1:";"firm_0:";"intermediate_good";1;1
"6";1;"firm_1:";"household";"labor";1;1
"7";1;"household";"firm_1:";"consumption_good";2;1
"8";2;"firm_0:";"household";"labor";1;1
"9";2;"firm_1:";"firm_0:";"intermediate_good";1;1
"10";2;"firm_1:";"household";"labor";1;1
"11";2;"household";"firm_1:";"consumption_good";2;1
"12";3;"firm_0:";"household";"labor";1;1
"13";3;"firm_1:";"firm_0:";"intermediate_good";1;1
"14";3;"firm_1:";"household";"labor";1;1
"15";3;"household";"firm_1:";"consumption_good";2;1
"16";4;"firm_0:";"household";"labor";1;1
"17";4;"firm_1:";"firm_0:";"intermediate_good";1;1
"18";4;"firm_1:";"household";"labor";1;1
"19";4;"household";"firm_1:";"consumption_good";2;1
"20";5;"firm_0:";"household";"labor";1;1
"21";5;"firm_1:";"firm_0:";"intermediate_good";1;1
"22";5;"firm_1:";"household";"labor";1;1
"23";5;"household";"firm_1:";"consumption_good";2;1
"24";6;"firm_0:";"household";"labor";1;1
"25";6;"firm_1:";"firm_0:";"intermediate_good";1;1
"26";6;"firm_1:";"household";"labor";1;1
"27";6;"household";"firm_1:";"consumption_good";2;1
"28";7;"firm_0:";"household";"labor";1;1
"29";7;"firm_1:";"firm_0:";"intermediate_good";1;1
"30";7;"firm_1:";"household";"labor";1;1
"31";7;"household";"firm_1:";"consumption_good";2;1
"32";8;"firm_0:";"household";"labor";1;1
"33";8;"firm_1:";"firm_0:";"intermediate_good";1;1
"34";8;"firm_1:";"household";"labor";1;1
"35";8;"household";"firm_1:";"consumption_good";2;1
"36";9;"firm_0:";"household";"labor";1;1
"37";9;"firm_1:";"firm_0:";"intermediate_good";1;1
"38";9;"firm_1:";"household";"labor";1;1
"39";9;"household";"firm_1:";"consumption_good";2;1
"40";10;"firm_0:";"household";"labor";1;1
"41";10;"firm_1:";"firm_0:";"intermediate_good";1;1
"42";10;"firm_1:";"household";"labor";1;1
"43";10;"household";"firm_1:";"consumption_good";2;1
"44";11;"firm_0:";"household";"labor";1;1
"45";11;"firm_1:";"firm_0:";"intermediate_good";1;1
"46";11;"firm_1:";"household";"labor";1;1
"47";11;"household";"firm_1:";"consumption_good";2;1
"48";12;"firm_0:";"household";"labor";1;1
"49";12;"firm_1:";"firm_0:";"intermediate_good";1;1
"50";12;"firm_1:";"household";"labor";1;1
"51";12;"household";"firm_1:";"consumption_good";2;1
"52";13;"firm_0:";"household";"labor";1;1
"53";13;"firm_1:";"firm_0:";"intermediate_good";1;1
"54";13;"firm_1:";"household";"labor";1;1
"55";13;"household";"firm_1:";"consumption_good";2;1
"56";14;"firm_0:";"household";"labor";1;1
"57";14;"firm_1:";"firm_0:";"intermediate_good";1;1
"58";14;"firm_1:";"household";"labor";1;1
"59";14;"household";"firm_1:";"consumption_good";2;1
"60";15;"firm_0:";"household";"labor";1;1
"61";15;"firm_1:";"firm_0:";"intermediate_good";1;1
"62";15;"firm_1:";"household";"labor";1;1
"63";15;"household";"firm_1:";"consumption_good";2;1
"64";16;"firm_0:";"household";"labor";1;1
"65";16;"firm_1:";"firm_0:";"intermediate_good";1;1
"66";16;"firm_1:";"household";"labor";1;1
"67";16;"household";"firm_1:";"consumption_good";2;1
"68";17;"firm_0:";"household";"labor";1;1
"69";17;"firm_1:";"firm_0:";"intermediate_good";1;1
"70";17;"firm_1:";"household";"labor";1;1
"71";17;"household";"firm_1:";"consumption_good";2;1
"72";18;"firm_0:";"household";"labor";1;1
"73";18;"firm_1:";"firm_0:";"intermediate_good";1;1
"74";18;"firm_1:";"household";"labor";1;1
"75";18;"household";"firm_1:";"consumption_good";2;1
"76";19;"firm_0:";"household";"labor";1;1
"77";19;"firm_1:";"firm_0:";"intermediate_good";1;1
"78";19;"firm_1:";"household";"labor";1;1
"79";19;"household";"firm_1:";"consumption_good";2;1
"80";20;"firm_0:";"household";"labor";1;1
"81";20;"firm_1:";"firm_0:";"intermediate_good";1;1
"82";20;"firm_1:";"household";"labor";1;1
"83";20;"household";"firm_1:";"consumption_good";2;1
"84";21;"firm_0:";"household";"labor";1;1
"85";21;"firm_1:";"firm_0:";"intermediate_good";1;1
"86";21;"firm_1:";"household";"labor";1;1
"87";21;"household";"firm_1:";"consumption_good";2;1
"88";22;"firm_0:";"household";"labor";1;1
"89";22;"firm_1:";"firm_0:";"intermediate_good";1;1
"90";22;"firm_1:";"household";"labor";1;1
"91";22;"household";"firm_1:";"consumption_good";2;1
"92";23;"firm_0:";"household";"labor";1;1
"93";23;"firm_1:";"firm_0:";"intermediate_good";1;1
"94";23;"firm_1:";"household";"labor";1;1
"95";23;"household";"firm_1:";"consumption_good";2;1
"96";24;"firm_0:";"household";"labor";1;1
"97";24;"firm_1:";"firm_0:";"intermediate_good";1;1
"98";24;"firm_1:";"household";"labor";1;1
"99";24;"household";"firm_1:";"consumption_good";2;1
"100";25;"firm_0:";"household";"labor";1;1
"101";25;"firm_1:";"firm_0:";"intermediate_good";1;1
"102";25;"firm_1:";"household";"labor";1;1
"103";25;"household";"firm_1:";"consumption_good";2;1
"104";26;"firm_0:";"household";"labor";1;1
"105";26;"firm_1:";"firm_0:";"intermediate_good";1;1
"106";26;"firm_1:";"household";"labor";1;1
"107";26;"household";"firm_1:";"consumption_good";2;1
"108";27;"firm_0:";"household";"labor";1;1
"109";27;"firm_1:";"firm_0:";"intermediate_good";1;1
"110";27;"firm_1:";"household";"labor";1;1
"111";27;"household";"firm_1:";"consumption_good";2;1
"112";28;"firm_0:";"household";"labor";1;1
"113";28;"firm_1:";"firm_0:";"intermediate_good";1;1
"114";28;"firm_1:";"household";"labor";1;1
"115";28;"household";"firm_1:";"consumption_good";2;1
"116";29;"firm_0:";"household";"labor";1;1
"117";29;"firm_1:";"firm_0:";"intermediate_good";1;1
"118";29;"firm_1:";"household";"labor";1;1
"119";29;"household";"firm_1:";"consumption_good";2;1
"120";30;"firm_0:";"household";"labor";1;1
"121";30;"firm_1:";"firm_0:";"intermediate_good";1;1
"122";30;"firm_1:";"household";"labor";1;1
"123";30;"household";"firm_1:";"consumption_good";2;1
"124";31;"firm_0:";"household";"labor";1;1
"125";31;"firm_1:";"firm_0:";"intermediate_good";1;1
"126";31;"firm_1:";"household";"labor";1;1
"127";31;"household";"firm_1:";"consumption_good";2;1
"128";32;"firm_0:";"household";"labor";1;1
"129";32;"firm_1:";"firm_0:";"intermediate_good";1;1
"130";32;"firm_1:";"household";"labor";1;1
"131";32;"household";"firm_1:";"consumption_good";2;1
"132";33;"firm_0:";"household";"labor";1;1
"133";33;"firm_1:";"firm_0:";"intermediate_good";1;1
"134";33;"firm_1:";"household";"labor";1;1
"135";33;"household";"firm_1:";"consumption_good";2;1
"136";34;"firm_0:";"household";"labor";1;1
"137";34;"firm_1:";"firm_0:";"intermediate_good";1;1
"138";34;"firm_1:";"household";"labor";1;1
"139";34;"household";"firm_1:";"consumption_good";2;1
"140";35;"firm_0:";"household";"labor";1;1
"141";35;"firm_1:";"firm_0:";"intermediate_good";1;1
"142";35;"firm_1:";"household";"labor";1;1
"143";35;"household";"firm_1:";"consumption_good";2;1
"144";36;"firm_0:";"household";"labor";1;1
"145";36;"firm_1:";"firm_0:";"intermediate_good";1;1
"146";36;"firm_1:";"household";"labor";1;1
"147";36;"household";"firm_1:";"consumption_good";2;1
"148";37;"firm_0:";"household";"labor";1;1
"149";37;"firm_1:";"firm_0:";"intermediate_good";1;1
"150";37;"firm_1:";"household";"labor";1;1
"151";37;"household";"firm_1:";"consumption_good";2;1
"152";38;"firm_0:";"household";"labor";1;1
"153";38;"firm_1:";"firm_0:";"intermediate_good";1;1
"154";38;"firm_1:";"household";"labor";1;1
"155";38;"household";"firm_1:";"consumption_good";2;1
"156";39;"firm_0:";"household";"labor";1;1
"157";39;"firm_1:";"firm_0:";"intermediate_good";1;1
"158";39;"firm_1:";"household";"labor";1;1
"159";39;"household";"firm_1:";"consumption_good";2;1
