"";"round";"good";"seller";"buyer";"price";"quantity"
"1";0;"consumption_good";"firm_1";"household_1";1;1
"2";0;"consumption_good";"firm_1";"household_0";1;1
"3";1;"intermediate_good";"firm_0";"firm_1";1;1
"4";1;"consumption_good";"firm_1";"household_1";1;1
"5";1;"consumption_good";"firm_1";"household_0";1;1
"6";2;"intermediate_good";"firm_0";"firm_1";1;1
"7";2;"consumption_good";"firm_1";"household_1";1;1
"8";2;"consumption_good";"firm_1";"household_0";1;1
"9";3;"intermediate_good";"firm_0";"firm_1";1;1
"10";3;"consumption_good";"firm_1";"household_1";1;1
"11";3;"consumption_good";"firm_1";"household_0";1;1
"12";4;"intermediate_good";"firm_0";"firm_1";1;1
"13";4;"consumption_good";"firm_1";"household_1";1;1
"14";4;"consumption_good";"firm_1";"household_0";1;1
"15";5;"intermediate_good";"firm_0";"firm_1";1;1
"16";5;"consumption_good";"firm_1";"household_1";1;1
"17";5;"consumption_good";"firm_1";"household_0";1;1
"18";0;"labor";"household_0";"firm_0";1;1
"19";0;"labor";"household_1";"firm_1";1;1
"20";6;"intermediate_good";"firm_0";"firm_1";1;1
"21";6;"consumption_good";"firm_1";"household_1";1;1
"22";6;"consumption_good";"firm_1";"household_0";1;1
"23";7;"intermediate_good";"firm_0";"firm_1";1;1
"24";7;"consumption_good";"firm_1";"household_1";1;1
"25";7;"consumption_good";"firm_1";"household_0";1;1
"26";1;"labor";"household_0";"firm_0";1;1
"27";1;"labor";"household_1";"firm_1";1;1
"28";8;"intermediate_good";"firm_0";"firm_1";1;1
"29";8;"consumption_good";"firm_1";"household_1";1;1
"30";8;"consumption_good";"firm_1";"household_0";1;1
"31";2;"labor";"household_0";"firm_0";1;1
"32";2;"labor";"household_1";"firm_1";1;1
"33";9;"intermediate_good";"firm_0";"firm_1";1;1
"34";9;"consumption_good";"firm_1";"household_1";1;1
"35";9;"consumption_good";"firm_1";"household_0";1;1
"36";10;"intermediate_good";"firm_0";"firm_1";1;1
"37";10;"consumption_good";"firm_1";"household_1";1;1
"38";10;"consumption_good";"firm_1";"household_0";1;1
"39";3;"labor";"household_0";"firm_0";1;1
"40";3;"labor";"household_1";"firm_1";1;1
"41";11;"intermediate_good";"firm_0";"firm_1";1;1
"42";11;"consumption_good";"firm_1";"household_1";1;1
"43";11;"consumption_good";"firm_1";"household_0";1;1
"44";4;"labor";"household_0";"firm_0";1;1
"45";4;"labor";"household_1";"firm_1";1;1
"46";12;"intermediate_good";"firm_0";"firm_1";1;1
"47";12;"consumption_good";"firm_1";"household_1";1;1
"48";12;"consumption_good";"firm_1";"household_0";1;1
"49";13;"intermediate_good";"firm_0";"firm_1";1;1
"50";13;"consumption_good";"firm_1";"household_1";1;1
"51";13;"consumption_good";"firm_1";"household_0";1;1
"52";5;"labor";"household_0";"firm_0";1;1
"53";5;"labor";"household_1";"firm_1";1;1
"54";14;"intermediate_good";"firm_0";"firm_1";1;1
"55";14;"consumption_good";"firm_1";"household_1";1;1
"56";14;"consumption_good";"firm_1";"household_0";1;1
"57";6;"labor";"household_0";"firm_0";1;1
"58";6;"labor";"household_1";"firm_1";1;1
"59";15;"intermediate_good";"firm_0";"firm_1";1;1
"60";15;"consumption_good";"firm_1";"household_1";1;1
"61";15;"consumption_good";"firm_1";"household_0";1;1
"62";16;"intermediate_good";"firm_0";"firm_1";1;1
"63";16;"consumption_good";"firm_1";"household_1";1;1
"64";16;"consumption_good";"firm_1";"household_0";1;1
"65";7;"labor";"household_0";"firm_0";1;1
"66";7;"labor";"household_1";"firm_1";1;1
"67";17;"intermediate_good";"firm_0";"firm_1";1;1
"68";17;"consumption_good";"firm_1";"household_1";1;1
"69";17;"consumption_good";"firm_1";"household_0";1;1
"70";8;"labor";"household_0";"firm_0";1;1
"71";8;"labor";"household_1";"firm_1";1;1
"72";18;"intermediate_good";"firm_0";"firm_1";1;1
"73";18;"consumption_good";"firm_1";"household_1";1;1
"74";18;"consumption_good";"firm_1";"household_0";1;1
"75";19;"intermediate_good";"firm_0";"firm_1";1;1
"76";19;"consumption_good";"firm_1";"household_1";1;1
"77";19;"consumption_good";"firm_1";"household_0";1;1
"78";9;"labor";"household_0";"firm_0";1;1
"79";9;"labor";"household_1";"firm_1";1;1
"80";20;"intermediate_good";"firm_0";"firm_1";1;1
"81";20;"consumption_good";"firm_1";"household_1";1;1
"82";20;"consumption_good";"firm_1";"household_0";1;1
"83";10;"labor";"household_0";"firm_0";1;1
"84";10;"labor";"household_1";"firm_1";1;1
