"";"round";"good";"seller";"buyer";"price";"quantity"
"1";0;"GOOD";"firm_0";"household_0";1;1
"2";0;"labor";"household_0";"firm_0";1;1
"3";1;"GOOD";"firm_0";"household_0";1;1
"4";1;"labor";"household_0";"firm_0";1;1
"5";2;"labor";"household_0";"firm_0";1;1
"6";2;"GOOD";"firm_0";"household_0";1;1
"7";3;"GOOD";"firm_0";"household_0";1;1
"8";3;"labor";"household_0";"firm_0";1;1
"9";4;"GOOD";"firm_0";"household_0";1;1
"10";4;"labor";"household_0";"firm_0";1;1
"11";5;"GOOD";"firm_0";"household_0";1;1
"12";5;"labor";"household_0";"firm_0";1;1
"13";6;"GOOD";"firm_0";"household_0";1;1
"14";6;"labor";"household_0";"firm_0";1;1
"15";7;"GOOD";"firm_0";"household_0";1;1
"16";7;"labor";"household_0";"firm_0";1;1
"17";8;"labor";"household_0";"firm_0";1;1
"18";8;"GOOD";"firm_0";"household_0";1;1
"19";9;"GOOD";"firm_0";"household_0";1;1
"20";9;"labor";"household_0";"firm_0";1;1
