index,round,i_ttl,i_mean,i_std,r_ttl,r_mean,r_std,money_ttl,money_mean,money_std
1,0,45.0,4.5,3.0276503540974917,0.0,0.0,0.0,1.0,0.1,0.0
2,1,45.0,4.5,3.0276503540974917,10.0,1.0,0.0,2.0,0.2,0.0
3,2,45.0,4.5,3.0276503540974917,20.0,2.0,0.0,3.0000000000000004,0.30000000000000004,0.0
4,3,45.0,4.5,3.0276503540974917,30.0,3.0,0.0,4.0,0.4,0.0
5,4,45.0,4.5,3.0276503540974917,40.0,4.0,0.0,5.0,0.5,0.0
6,5,45.0,4.5,3.0276503540974917,50.0,5.0,0.0,6.0,0.6,0.0
7,6,45.0,4.5,3.0276503540974917,60.0,6.0,0.0,7.0,0.7,0.0
8,7,45.0,4.5,3.0276503540974917,70.0,7.0,0.0,7.999999999999999,0.7999999999999999,0.0
9,8,45.0,4.5,3.0276503540974917,80.0,8.0,0.0,9.0,0.8999999999999999,0.0
10,9,45.0,4.5,3.0276503540974917,90.0,9.0,0.0,9.999999999999998,0.9999999999999999,0.0
11,10,45.0,4.5,3.0276503540974917,100.0,10.0,0.0,10.999999999999998,1.0999999999999999,0.0
12,11,45.0,4.5,3.0276503540974917,110.0,11.0,0.0,12.0,1.2,0.0
13,12,45.0,4.5,3.0276503540974917,120.0,12.0,0.0,13.0,1.3,0.0
14,13,45.0,4.5,3.0276503540974917,130.0,13.0,0.0,14.000000000000002,1.4000000000000001,0.0
15,14,45.0,4.5,3.0276503540974917,140.0,14.0,0.0,15.000000000000002,1.5000000000000002,0.0
16,15,45.0,4.5,3.0276503540974917,150.0,15.0,0.0,16.000000000000004,1.6000000000000003,0.0
17,16,45.0,4.5,3.0276503540974917,160.0,16.0,0.0,17.000000000000004,1.7000000000000004,0.0
18,17,45.0,4.5,3.0276503540974917,170.0,17.0,0.0,18.000000000000004,1.8000000000000005,0.0
19,18,45.0,4.5,3.0276503540974917,180.0,18.0,0.0,19.000000000000007,1.9000000000000006,0.0
20,19,45.0,4.5,3.0276503540974917,190.0,19.0,0.0,20.000000000000004,2.0000000000000004,0.0
21,20,45.0,4.5,3.0276503540974917,200.0,20.0,0.0,21.000000000000007,2.1000000000000005,0.0
22,21,45.0,4.5,3.0276503540974917,210.0,21.0,0.0,22.000000000000007,2.2000000000000006,0.0
23,22,45.0,4.5,3.0276503540974917,220.0,22.0,0.0,23.000000000000007,2.3000000000000007,0.0
24,23,45.0,4.5,3.0276503540974917,230.0,23.0,0.0,24.000000000000007,2.400000000000001,0.0
25,24,45.0,4.5,3.0276503540974917,240.0,24.0,0.0,25.000000000000007,2.500000000000001,0.0
26,25,45.0,4.5,3.0276503540974917,250.0,25.0,0.0,26.00000000000001,2.600000000000001,0.0
27,26,45.0,4.5,3.0276503540974917,260.0,26.0,0.0,27.00000000000001,2.700000000000001,0.0
28,27,45.0,4.5,3.0276503540974917,270.0,27.0,0.0,28.00000000000001,2.800000000000001,0.0
29,28,45.0,4.5,3.0276503540974917,280.0,28.0,0.0,29.000000000000014,2.9000000000000012,0.0
30,29,45.0,4.5,3.0276503540974917,290.0,29.0,0.0,30.000000000000014,3.0000000000000013,0.0
31,30,45.0,4.5,3.0276503540974917,300.0,30.0,0.0,31.000000000000014,3.1000000000000014,0.0
32,31,45.0,4.5,3.0276503540974917,310.0,31.0,0.0,32.000000000000014,3.2000000000000015,0.0
33,32,45.0,4.5,3.0276503540974917,320.0,32.0,0.0,33.000000000000014,3.3000000000000016,0.0
34,33,45.0,4.5,3.0276503540974917,330.0,33.0,0.0,34.000000000000014,3.4000000000000017,0.0
35,34,45.0,4.5,3.0276503540974917,340.0,34.0,0.0,35.000000000000014,3.5000000000000018,0.0
36,35,45.0,4.5,3.0276503540974917,350.0,35.0,0.0,36.00000000000002,3.600000000000002,0.0
37,36,45.0,4.5,3.0276503540974917,360.0,36.0,0.0,37.00000000000002,3.700000000000002,0.0
38,37,45.0,4.5,3.0276503540974917,370.0,37.0,0.0,38.00000000000002,3.800000000000002,0.0
39,38,45.0,4.5,3.0276503540974917,380.0,38.0,0.0,39.00000000000002,3.900000000000002,0.0
40,39,45.0,4.5,3.0276503540974917,390.0,39.0,0.0,40.000000000000014,4.000000000000002,0.0
41,40,45.0,4.5,3.0276503540974917,400.0,40.0,0.0,41.000000000000014,4.100000000000001,0.0
42,41,45.0,4.5,3.0276503540974917,410.0,41.0,0.0,42.000000000000014,4.200000000000001,0.0
43,42,45.0,4.5,3.0276503540974917,420.0,42.0,0.0,43.00000000000001,4.300000000000001,0.0
44,43,45.0,4.5,3.0276503540974917,430.0,43.0,0.0,44.0,4.4,0.0
45,44,45.0,4.5,3.0276503540974917,440.0,44.0,0.0,45.0,4.5,0.0
46,45,45.0,4.5,3.0276503540974917,450.0,45.0,0.0,46.0,4.6,0.0
47,46,45.0,4.5,3.0276503540974917,460.0,46.0,0.0,46.99999999999999,4.699999999999999,0.0
48,47,45.0,4.5,3.0276503540974917,470.0,47.0,0.0,47.999999999999986,4.799999999999999,0.0
49,48,45.0,4.5,3.0276503540974917,480.0,48.0,0.0,48.999999999999986,4.899999999999999,0.0
50,49,45.0,4.5,3.0276503540974917,490.0,49.0,0.0,49.999999999999986,4.999999999999998,0.0
51,50,45.0,4.5,3.0276503540974917,500.0,50.0,0.0,50.99999999999998,5.099999999999998,0.0
52,51,45.0,4.5,3.0276503540974917,510.0,51.0,0.0,51.99999999999997,5.1999999999999975,0.0
53,52,45.0,4.5,3.0276503540974917,520.0,52.0,0.0,52.99999999999997,5.299999999999997,0.0
54,53,45.0,4.5,3.0276503540974917,530.0,53.0,0.0,53.99999999999997,5.399999999999997,0.0
55,54,45.0,4.5,3.0276503540974917,540.0,54.0,0.0,54.999999999999964,5.4999999999999964,0.0
56,55,45.0,4.5,3.0276503540974917,550.0,55.0,0.0,55.99999999999996,5.599999999999996,0.0
57,56,45.0,4.5,3.0276503540974917,560.0,56.0,0.0,56.99999999999996,5.699999999999996,0.0
58,57,45.0,4.5,3.0276503540974917,570.0,57.0,0.0,57.99999999999996,5.799999999999995,0.0
59,58,45.0,4.5,3.0276503540974917,580.0,58.0,0.0,58.99999999999995,5.899999999999995,0.0
60,59,45.0,4.5,3.0276503540974917,590.0,59.0,0.0,59.99999999999994,5.999999999999995,0.0
61,60,45.0,4.5,3.0276503540974917,600.0,60.0,0.0,60.99999999999994,6.099999999999994,0.0
62,61,45.0,4.5,3.0276503540974917,610.0,61.0,0.0,61.99999999999994,6.199999999999994,0.0
63,62,45.0,4.5,3.0276503540974917,620.0,62.0,0.0,62.999999999999936,6.299999999999994,0.0
64,63,45.0,4.5,3.0276503540974917,630.0,63.0,0.0,63.99999999999993,6.399999999999993,0.0
65,64,45.0,4.5,3.0276503540974917,640.0,64.0,0.0,64.99999999999993,6.499999999999993,0.0
66,65,45.0,4.5,3.0276503540974917,650.0,65.0,0.0,65.99999999999993,6.5999999999999925,0.0
67,66,45.0,4.5,3.0276503540974917,660.0,66.0,0.0,66.99999999999991,6.699999999999992,0.0
68,67,45.0,4.5,3.0276503540974917,670.0,67.0,0.0,67.99999999999991,6.799999999999992,0.0
69,68,45.0,4.5,3.0276503540974917,680.0,68.0,0.0,68.99999999999991,6.8999999999999915,0.0
70,69,45.0,4.5,3.0276503540974917,690.0,69.0,0.0,69.99999999999991,6.999999999999991,0.0
71,70,45.0,4.5,3.0276503540974917,700.0,70.0,0.0,70.99999999999991,7.099999999999991,0.0
72,71,45.0,4.5,3.0276503540974917,710.0,71.0,0.0,71.9999999999999,7.19999999999999,0.0
73,72,45.0,4.5,3.0276503540974917,720.0,72.0,0.0,72.9999999999999,7.29999999999999,0.0
74,73,45.0,4.5,3.0276503540974917,730.0,73.0,0.0,73.9999999999999,7.39999999999999,0.0
75,74,45.0,4.5,3.0276503540974917,740.0,74.0,0.0,74.99999999999989,7.499999999999989,0.0
76,75,45.0,4.5,3.0276503540974917,750.0,75.0,0.0,75.99999999999989,7.599999999999989,0.0
77,76,45.0,4.5,3.0276503540974917,760.0,76.0,0.0,76.99999999999989,7.699999999999989,0.0
78,77,45.0,4.5,3.0276503540974917,770.0,77.0,0.0,77.99999999999989,7.799999999999988,0.0
79,78,45.0,4.5,3.0276503540974917,780.0,78.0,0.0,78.99999999999989,7.899999999999988,0.0
80,79,45.0,4.5,3.0276503540974917,790.0,79.0,0.0,79.99999999999987,7.999999999999988,0.0
81,80,45.0,4.5,3.0276503540974917,800.0,80.0,0.0,80.99999999999987,8.099999999999987,0.0
82,81,45.0,4.5,3.0276503540974917,810.0,81.0,0.0,81.99999999999987,8.199999999999987,0.0
83,82,45.0,4.5,3.0276503540974917,820.0,82.0,0.0,82.99999999999986,8.299999999999986,0.0
84,83,45.0,4.5,3.0276503540974917,830.0,83.0,0.0,83.99999999999986,8.399999999999986,0.0
85,84,45.0,4.5,3.0276503540974917,840.0,84.0,0.0,84.99999999999986,8.499999999999986,0.0
86,85,45.0,4.5,3.0276503540974917,850.0,85.0,0.0,85.99999999999986,8.599999999999985,0.0
87,86,45.0,4.5,3.0276503540974917,860.0,86.0,0.0,86.99999999999986,8.699999999999985,0.0
88,87,45.0,4.5,3.0276503540974917,870.0,87.0,0.0,87.99999999999984,8.799999999999985,0.0
89,88,45.0,4.5,3.0276503540974917,880.0,88.0,0.0,88.99999999999984,8.899999999999984,0.0
90,89,45.0,4.5,3.0276503540974917,890.0,89.0,0.0,89.99999999999984,8.999999999999984,0.0
91,90,45.0,4.5,3.0276503540974917,900.0,90.0,0.0,90.99999999999983,9.099999999999984,0.0
92,91,45.0,4.5,3.0276503540974917,910.0,91.0,0.0,91.99999999999983,9.199999999999983,0.0
93,92,45.0,4.5,3.0276503540974917,920.0,92.0,0.0,92.99999999999983,9.299999999999983,0.0
94,93,45.0,4.5,3.0276503540974917,930.0,93.0,0.0,93.99999999999983,9.399999999999983,0.0
95,94,45.0,4.5,3.0276503540974917,940.0,94.0,0.0,94.99999999999983,9.499999999999982,0.0
96,95,45.0,4.5,3.0276503540974917,950.0,95.0,0.0,95.99999999999982,9.599999999999982,0.0
97,96,45.0,4.5,3.0276503540974917,960.0,96.0,0.0,96.99999999999982,9.699999999999982,0.0
98,97,45.0,4.5,3.0276503540974917,970.0,97.0,0.0,97.99999999999982,9.799999999999981,0.0
99,98,45.0,4.5,3.0276503540974917,980.0,98.0,0.0,98.9999999999998,9.89999999999998,0.0
100,99,45.0,4.5,3.0276503540974917,990.0,99.0,0.0,99.9999999999998,9.99999999999998,0.0
