index,round,money,i,r
0,0,0.0,0.1,4.5
1,1,1.0,0.2,4.5
2,2,2.0,0.30000000000000004,4.5
3,3,3.0,0.4,4.5
4,4,4.0,0.5,4.5
5,5,5.0,0.6,4.5
6,6,6.0,0.7,4.5
7,7,7.0,0.7999999999999999,4.5
8,8,8.0,0.8999999999999999,4.5
9,9,9.0,0.9999999999999999,4.5
10,10,10.0,1.0999999999999999,4.5
11,11,11.0,1.2,4.5
12,12,12.0,1.3,4.5
13,13,13.0,1.4000000000000001,4.5
14,14,14.0,1.5000000000000002,4.5
15,15,15.0,1.6000000000000003,4.5
16,16,16.0,1.7000000000000004,4.5
17,17,17.0,1.8000000000000005,4.5
18,18,18.0,1.9000000000000006,4.5
19,19,19.0,2.0000000000000004,4.5
20,20,20.0,2.1000000000000005,4.5
21,21,21.0,2.2000000000000006,4.5
22,22,22.0,2.3000000000000007,4.5
23,23,23.0,2.400000000000001,4.5
24,24,24.0,2.500000000000001,4.5
25,25,25.0,2.600000000000001,4.5
26,26,26.0,2.700000000000001,4.5
27,27,27.0,2.800000000000001,4.5
28,28,28.0,2.9000000000000012,4.5
29,29,29.0,3.0000000000000013,4.5
30,30,30.0,3.1000000000000014,4.5
31,31,31.0,3.2000000000000015,4.5
32,32,32.0,3.3000000000000016,4.5
33,33,33.0,3.4000000000000017,4.5
34,34,34.0,3.5000000000000018,4.5
35,35,35.0,3.600000000000002,4.5
36,36,36.0,3.700000000000002,4.5
37,37,37.0,3.800000000000002,4.5
38,38,38.0,3.900000000000002,4.5
39,39,39.0,4.000000000000002,4.5
40,40,40.0,4.100000000000001,4.5
41,41,41.0,4.200000000000001,4.5
42,42,42.0,4.300000000000001,4.5
43,43,43.0,4.4,4.5
44,44,44.0,4.5,4.5
45,45,45.0,4.6,4.5
46,46,46.0,4.699999999999999,4.5
47,47,47.0,4.799999999999999,4.5
48,48,48.0,4.899999999999999,4.5
49,49,49.0,4.999999999999998,4.5
50,50,50.0,5.099999999999998,4.5
51,51,51.0,5.1999999999999975,4.5
52,52,52.0,5.299999999999997,4.5
53,53,53.0,5.399999999999997,4.5
54,54,54.0,5.4999999999999964,4.5
55,55,55.0,5.599999999999996,4.5
56,56,56.0,5.699999999999996,4.5
57,57,57.0,5.799999999999995,4.5
58,58,58.0,5.899999999999995,4.5
59,59,59.0,5.999999999999995,4.5
60,60,60.0,6.099999999999994,4.5
61,61,61.0,6.199999999999994,4.5
62,62,62.0,6.299999999999994,4.5
63,63,63.0,6.399999999999993,4.5
64,64,64.0,6.499999999999993,4.5
65,65,65.0,6.5999999999999925,4.5
66,66,66.0,6.699999999999992,4.5
67,67,67.0,6.799999999999992,4.5
68,68,68.0,6.8999999999999915,4.5
69,69,69.0,6.999999999999991,4.5
70,70,70.0,7.099999999999991,4.5
71,71,71.0,7.19999999999999,4.5
72,72,72.0,7.29999999999999,4.5
73,73,73.0,7.39999999999999,4.5
74,74,74.0,7.499999999999989,4.5
75,75,75.0,7.599999999999989,4.5
76,76,76.0,7.699999999999989,4.5
77,77,77.0,7.799999999999988,4.5
78,78,78.0,7.899999999999988,4.5
79,79,79.0,7.999999999999988,4.5
80,80,80.0,8.099999999999987,4.5
81,81,81.0,8.199999999999987,4.5
82,82,82.0,8.299999999999986,4.5
83,83,83.0,8.399999999999986,4.5
84,84,84.0,8.499999999999986,4.5
85,85,85.0,8.599999999999985,4.5
86,86,86.0,8.699999999999985,4.5
87,87,87.0,8.799999999999985,4.5
88,88,88.0,8.899999999999984,4.5
89,89,89.0,8.999999999999984,4.5
90,90,90.0,9.099999999999984,4.5
91,91,91.0,9.199999999999983,4.5
92,92,92.0,9.299999999999983,4.5
93,93,93.0,9.399999999999983,4.5
94,94,94.0,9.499999999999982,4.5
95,95,95.0,9.599999999999982,4.5
96,96,96.0,9.699999999999982,4.5
97,97,97.0,9.799999999999981,4.5
98,98,98.0,9.89999999999998,4.5
