round,li_mean,li_ttl,lr_mean,lr_ttl,l_i_mean,l_i_ttl,l_r_mean,l_r_ttl,i_mean,i_ttl,r_mean,r_ttl,money_mean,money_ttl
00,1.5,6,0.0,0,1.5,6,0.0,0,1.5,6,0.0,0,0.1,0.4
01,1.5,6,10.0,40,1.5,6,10.0,40,1.5,6,10.0,40,1.0999999999999999,4.3999999999999995
02,1.5,6,20.0,80,1.5,6,20.0,80,1.5,6,20.0,80,2.1000000000000005,8.400000000000002
03,1.5,6,30.0,120,1.5,6,30.0,120,1.5,6,30.0,120,3.1000000000000014,12.400000000000006
04,1.5,6,40.0,160,1.5,6,40.0,160,1.5,6,40.0,160,4.100000000000001,16.400000000000006
05,1.5,6,50.0,200,1.5,6,50.0,200,1.5,6,50.0,200,5.099999999999998,20.39999999999999
06,1.5,6,60.0,240,1.5,6,60.0,240,1.5,6,60.0,240,6.099999999999994,24.399999999999977
07,1.5,6,70.0,280,1.5,6,70.0,280,1.5,6,70.0,280,7.099999999999991,28.399999999999963
08,1.5,6,80.0,320,1.5,6,80.0,320,1.5,6,80.0,320,8.099999999999987,32.39999999999995
09,1.5,6,90.0,360,1.5,6,90.0,360,1.5,6,90.0,360,9.099999999999984,36.399999999999935
10,1.5,6,1.0,4,1.5,6,1.0,4,1.5,6,1.0,4,0.2,0.8
11,1.5,6,11.0,44,1.5,6,11.0,44,1.5,6,11.0,44,1.2,4.8
12,1.5,6,21.0,84,1.5,6,21.0,84,1.5,6,21.0,84,2.2000000000000006,8.800000000000002
13,1.5,6,31.0,124,1.5,6,31.0,124,1.5,6,31.0,124,3.2000000000000015,12.800000000000006
14,1.5,6,41.0,164,1.5,6,41.0,164,1.5,6,41.0,164,4.200000000000001,16.800000000000004
15,1.5,6,51.0,204,1.5,6,51.0,204,1.5,6,51.0,204,5.1999999999999975,20.79999999999999
16,1.5,6,61.0,244,1.5,6,61.0,244,1.5,6,61.0,244,6.199999999999994,24.799999999999976
17,1.5,6,71.0,284,1.5,6,71.0,284,1.5,6,71.0,284,7.19999999999999,28.79999999999996
18,1.5,6,81.0,324,1.5,6,81.0,324,1.5,6,81.0,324,8.199999999999987,32.79999999999995
19,1.5,6,91.0,364,1.5,6,91.0,364,1.5,6,91.0,364,9.199999999999983,36.79999999999993
20,1.5,6,2.0,8,1.5,6,2.0,8,1.5,6,2.0,8,0.30000000000000004,1.2000000000000002
21,1.5,6,12.0,48,1.5,6,12.0,48,1.5,6,12.0,48,1.3,5.2
22,1.5,6,22.0,88,1.5,6,22.0,88,1.5,6,22.0,88,2.3000000000000007,9.200000000000003
23,1.5,6,32.0,128,1.5,6,32.0,128,1.5,6,32.0,128,3.3000000000000016,13.200000000000006
24,1.5,6,42.0,168,1.5,6,42.0,168,1.5,6,42.0,168,4.300000000000001,17.200000000000003
25,1.5,6,52.0,208,1.5,6,52.0,208,1.5,6,52.0,208,5.299999999999997,21.19999999999999
26,1.5,6,62.0,248,1.5,6,62.0,248,1.5,6,62.0,248,6.299999999999994,25.199999999999974
27,1.5,6,72.0,288,1.5,6,72.0,288,1.5,6,72.0,288,7.29999999999999,29.19999999999996
28,1.5,6,82.0,328,1.5,6,82.0,328,1.5,6,82.0,328,8.299999999999986,33.199999999999946
29,1.5,6,92.0,368,1.5,6,92.0,368,1.5,6,92.0,368,9.299999999999983,37.19999999999993
30,1.5,6,3.0,12,1.5,6,3.0,12,1.5,6,3.0,12,0.4,1.6
31,1.5,6,13.0,52,1.5,6,13.0,52,1.5,6,13.0,52,1.4000000000000001,5.6000000000000005
32,1.5,6,23.0,92,1.5,6,23.0,92,1.5,6,23.0,92,2.400000000000001,9.600000000000003
33,1.5,6,33.0,132,1.5,6,33.0,132,1.5,6,33.0,132,3.4000000000000017,13.600000000000007
34,1.5,6,43.0,172,1.5,6,43.0,172,1.5,6,43.0,172,4.4,17.6
35,1.5,6,53.0,212,1.5,6,53.0,212,1.5,6,53.0,212,5.399999999999997,21.599999999999987
36,1.5,6,63.0,252,1.5,6,63.0,252,1.5,6,63.0,252,6.399999999999993,25.599999999999973
37,1.5,6,73.0,292,1.5,6,73.0,292,1.5,6,73.0,292,7.39999999999999,29.59999999999996
38,1.5,6,83.0,332,1.5,6,83.0,332,1.5,6,83.0,332,8.399999999999986,33.599999999999945
39,1.5,6,93.0,372,1.5,6,93.0,372,1.5,6,93.0,372,9.399999999999983,37.59999999999993
40,1.5,6,4.0,16,1.5,6,4.0,16,1.5,6,4.0,16,0.5,2.0
41,1.5,6,14.0,56,1.5,6,14.0,56,1.5,6,14.0,56,1.5000000000000002,6.000000000000001
42,1.5,6,24.0,96,1.5,6,24.0,96,1.5,6,24.0,96,2.500000000000001,10.000000000000004
43,1.5,6,34.0,136,1.5,6,34.0,136,1.5,6,34.0,136,3.5000000000000018,14.000000000000007
44,1.5,6,44.0,176,1.5,6,44.0,176,1.5,6,44.0,176,4.5,18.0
45,1.5,6,54.0,216,1.5,6,54.0,216,1.5,6,54.0,216,5.4999999999999964,21.999999999999986
46,1.5,6,64.0,256,1.5,6,64.0,256,1.5,6,64.0,256,6.499999999999993,25.99999999999997
47,1.5,6,74.0,296,1.5,6,74.0,296,1.5,6,74.0,296,7.499999999999989,29.999999999999957
48,1.5,6,84.0,336,1.5,6,84.0,336,1.5,6,84.0,336,8.499999999999986,33.99999999999994
49,1.5,6,94.0,376,1.5,6,94.0,376,1.5,6,94.0,376,9.499999999999982,37.99999999999993
50,1.5,6,5.0,20,1.5,6,5.0,20,1.5,6,5.0,20,0.6,2.4
51,1.5,6,15.0,60,1.5,6,15.0,60,1.5,6,15.0,60,1.6000000000000003,6.400000000000001
52,1.5,6,25.0,100,1.5,6,25.0,100,1.5,6,25.0,100,2.600000000000001,10.400000000000004
53,1.5,6,35.0,140,1.5,6,35.0,140,1.5,6,35.0,140,3.600000000000002,14.400000000000007
