index,li,round,name,lr,l_i,l_r,i,r,money
1,1,00,Davoud,0,1,0,1,0,0.1
2,2,00,fred,0,2,0,2,0,0.1
3,3,00,F12,0,3,0,3,0,0.1
4,0,00,A,0,0,0,0,0,0.1
5,1,10,Davoud,1,1,1,1,1,0.2
6,2,10,fred,1,2,1,2,1,0.2
7,3,10,F12,1,3,1,3,1,0.2
8,0,10,A,1,0,1,0,1,0.2
9,1,20,Davoud,2,1,2,1,2,0.30000000000000004
10,2,20,fred,2,2,2,2,2,0.30000000000000004
11,3,20,F12,2,3,2,3,2,0.30000000000000004
12,0,20,A,2,0,2,0,2,0.30000000000000004
13,1,30,Davoud,3,1,3,1,3,0.4
14,2,30,fred,3,2,3,2,3,0.4
15,3,30,F12,3,3,3,3,3,0.4
16,0,30,A,3,0,3,0,3,0.4
17,1,40,Davoud,4,1,4,1,4,0.5
18,2,40,fred,4,2,4,2,4,0.5
19,3,40,F12,4,3,4,3,4,0.5
20,0,40,A,4,0,4,0,4,0.5
21,1,50,Davoud,5,1,5,1,5,0.6
22,2,50,fred,5,2,5,2,5,0.6
23,3,50,F12,5,3,5,3,5,0.6
24,0,50,A,5,0,5,0,5,0.6
25,1,60,Davoud,6,1,6,1,6,0.7
26,2,60,fred,6,2,6,2,6,0.7
27,3,60,F12,6,3,6,3,6,0.7
28,0,60,A,6,0,6,0,6,0.7
29,1,70,Davoud,7,1,7,1,7,0.7999999999999999
30,2,70,fred,7,2,7,2,7,0.7999999999999999
31,3,70,F12,7,3,7,3,7,0.7999999999999999
32,0,70,A,7,0,7,0,7,0.7999999999999999
33,1,80,Davoud,8,1,8,1,8,0.8999999999999999
34,2,80,fred,8,2,8,2,8,0.8999999999999999
35,3,80,F12,8,3,8,3,8,0.8999999999999999
36,0,80,A,8,0,8,0,8,0.8999999999999999
37,1,90,Davoud,9,1,9,1,9,0.9999999999999999
38,2,90,fred,9,2,9,2,9,0.9999999999999999
39,3,90,F12,9,3,9,3,9,0.9999999999999999
40,0,90,A,9,0,9,0,9,0.9999999999999999
41,1,01,Davoud,10,1,10,1,10,1.0999999999999999
42,2,01,fred,10,2,10,2,10,1.0999999999999999
43,3,01,F12,10,3,10,3,10,1.0999999999999999
44,0,01,A,10,0,10,0,10,1.0999999999999999
45,1,11,Davoud,11,1,11,1,11,1.2
46,2,11,fred,11,2,11,2,11,1.2
47,3,11,F12,11,3,11,3,11,1.2
48,0,11,A,11,0,11,0,11,1.2
49,1,21,Davoud,12,1,12,1,12,1.3
50,2,21,fred,12,2,12,2,12,1.3
51,3,21,F12,12,3,12,3,12,1.3
52,0,21,A,12,0,12,0,12,1.3
53,1,31,Davoud,13,1,13,1,13,1.4000000000000001
54,2,31,fred,13,2,13,2,13,1.4000000000000001
55,3,31,F12,13,3,13,3,13,1.4000000000000001
56,0,31,A,13,0,13,0,13,1.4000000000000001
57,1,41,Davoud,14,1,14,1,14,1.5000000000000002
58,2,41,fred,14,2,14,2,14,1.5000000000000002
59,3,41,F12,14,3,14,3,14,1.5000000000000002
60,0,41,A,14,0,14,0,14,1.5000000000000002
61,1,51,Davoud,15,1,15,1,15,1.6000000000000003
62,2,51,fred,15,2,15,2,15,1.6000000000000003
63,3,51,F12,15,3,15,3,15,1.6000000000000003
64,0,51,A,15,0,15,0,15,1.6000000000000003
65,1,61,Davoud,16,1,16,1,16,1.7000000000000004
66,2,61,fred,16,2,16,2,16,1.7000000000000004
67,3,61,F12,16,3,16,3,16,1.7000000000000004
68,0,61,A,16,0,16,0,16,1.7000000000000004
69,1,71,Davoud,17,1,17,1,17,1.8000000000000005
70,2,71,fred,17,2,17,2,17,1.8000000000000005
71,3,71,F12,17,3,17,3,17,1.8000000000000005
72,0,71,A,17,0,17,0,17,1.8000000000000005
73,1,81,Davoud,18,1,18,1,18,1.9000000000000006
74,2,81,fred,18,2,18,2,18,1.9000000000000006
75,3,81,F12,18,3,18,3,18,1.9000000000000006
76,0,81,A,18,0,18,0,18,1.9000000000000006
77,1,91,Davoud,19,1,19,1,19,2.0000000000000004
78,2,91,fred,19,2,19,2,19,2.0000000000000004
79,3,91,F12,19,3,19,3,19,2.0000000000000004
80,0,91,A,19,0,19,0,19,2.0000000000000004
